Token,Length,Frequency
t̟̟̟̟í,6,1
ìbùgbé,6,1
nílò,4,1
gbòòrò,6,1
ìyá,3,1
ìdàgbàsókè,10,1
s̟̟è̟,5,1
te̟nu,5,1
ako̟-n̅-bábo,12,1
pò̟,3,1
àsìkò,5,1
in,2,1
sílè̟,5,1
láìfi,5,1
èdè,3,1
Ò̟RÒ̟,5,1
ìlú,3,1
òkúta,5,1
è̟ye̟,5,1
ìbí,3,1
lórí,4,1
wo̟,3,1
ìkáni,5,1
inúnibíni,9,1
báyìí,5,1
s̟os̟o,6,1
bò̟wò̟,6,1
ìjà,3,1
jé̟jè̟é̟,8,1
láwùjo̟,7,1
ìké̟gàn,7,1
àìní,4,1
obìnrin,7,1
wò,2,1
ò̟rò̟e̟bí,9,1
O̟MO̟NÌYÀN,10,1
mu,2,1
ìgbésí,6,1
ò̟wò̟,5,1
àn,2,1
Ní,2,1
orúko̟,6,1
è̟rù,4,1
kò̟,3,1
àwò̟̟̟,6,1
i.,2,1
máa,3,1
s̟àlàyé,7,1
È̟TÓ̟,5,1
ke̟ta,5,1
kalè̟,5,1
kíkún,5,1
às̟eyege,8,1
ìdílé,5,1
ke̟rìndínlógún,14,1
títí,4,1
àbáyo̟,6,1
ìkó̟ni,6,1
ìyàtò̟̟,7,1
ÌKÉDE,5,1
òdodo,5,1
ìbè̟rè̟,7,1
e̟yo̟,5,1
lé̟jó̟,6,1
àmúlò,5,1
titun,5,1
síso̟,5,1
FÚN,3,1
Àpapò̟̟,7,1
ke̟fà,5,1
e̟niké̟ni,9,1
ìbanijé̟,8,1
okùnfà,6,1
ke̟jo̟.,7,1
jíjé̟,5,1
rìn,3,1
ìlo̟síwájú,10,1
pè,2,1
lé̟yìn,6,1
